,test1_mean,test2_mean,test1_std,test2_std
TL_Brain_CT_Baseline_11,0.9831656590104103,0.9779407158493996,0.00021845366166375806,0.0006152636831237481
NOTL_Ventricle_MR_Baseline_11_60_SAMPLES,0.7626508235931396,0.7458828091621399,0.014451409496693112,0.017898252337657215
NOTL_Ventricle_MR_Baseline_9,0.8568372070789337,0.8141224145889282,0.01782048527786017,0.02385205912348747
NOTL_Ventricle_MR_Baseline_9_10_SAMPLES,0.543349197932652,0.5204293557575771,0.03435244986121023,0.12861257154250302
NOTL_Ventricle_MR_Baseline_11_5_SAMPLES,0.052212593331933024,0.13148525282740592,0.003994700537050158,0.010387610084150135
NOTL_Ventricle_MR_Baseline_9_60_SAMPLES,0.8391464531421662,0.8037479162216187,0.027548966235730936,0.03547485580484993
NOTL_Ventricle_MR_Baseline_9_40_SAMPLES,0.8051388382911682,0.7837838172912598,0.0770498679355452,0.03318379252394253
NOTL_Ventricle_MR_Baseline_9_5_SAMPLES,0.43622702807188035,0.5745174705982208,0.1582482086564981,0.06778591515525983
NOTL_Ventricle_MR_Baseline_11_40_SAMPLES,0.5983425498008728,0.6979727923870087,0.033343315330661566,0.014373686969565301
NOTL_Ventricle_MR_Baseline_11,0.8323027193546295,0.7920105814933777,0.010237732913450781,0.009234686437399707
NOTL_Ventricle_MR_Baseline_11_20_SAMPLES,0.2619704768061638,0.4605283126235008,0.07140371509573307,0.11167962275714842
NOTL_Ventricle_MR_Baseline_11_10_SAMPLES,0.10138342380523682,0.24405985921621323,0.024929979582399488,0.05908343471742314
NOTL_Ventricle_MR_Baseline_9_20_SAMPLES,0.6436964273452759,0.609075802564621,0.15579226987981984,0.13973497494529075
NOTL_Brain_CT_Baseline_11,0.9784026940663656,0.9716110905011495,0.0012541234797296544,0.0018149156636262968
TL_Ventricle_CT_Baseline_11_40_SAMPLES,0.8118952512741089,0.7462840497493743,0.0033709507493836876,0.009787840079110077
TL_Ventricle_CT_Baseline_11_5_SAMPLES,0.7648103654384613,0.6804608881473542,0.005977065722920575,0.018205463888759824
TL_Ventricle_CT_Baseline_11_60_SAMPLES,0.8177060186862946,0.7548865258693696,0.003209803241546227,0.0061143792887919605
TL_Ventricle_CT_Baseline_11,0.8279403746128082,0.7658370018005372,0.0010341315379866817,0.0061741455744410735
TL_Ventricle_CT_Baseline_11_20_SAMPLES,0.8038869023323059,0.7348292171955109,0.006166477665087526,0.008912691277211034
TL_Ventricle_CT_Baseline_11_10_SAMPLES,0.7906817853450775,0.7115823209285737,0.005404770610111674,0.013293711953822717
NOTL_Brain_MR_Baseline_11,0.9605722705523173,0.9442381461461385,0.00502338803479369,0.008269189767796154
TL_Ventricle_MR_Baseline_11_40_SAMPLES,0.8595969259738923,0.8024157106876373,0.0015634163708062743,0.00578082269925063
TL_Ventricle_MR_Baseline_9_5_SAMPLES,0.8467415034770965,0.7835559546947479,0.001847809789902977,0.012739867403486595
TL_Ventricle_MR_Baseline_11,0.8674348890781403,0.8144274711608886,0.0011163368410594939,0.004385602910443753
TL_Ventricle_MR_Baseline_11_5_SAMPLES,0.8442647695541382,0.7710961401462555,0.00290113557355624,0.011083840386916627
TL_Ventricle_MR_Baseline_9_20_SAMPLES,0.8599049031734467,0.7996779263019562,0.0012301671486514316,0.006587199329200538
TL_Ventricle_MR_Baseline_9_40_SAMPLES,0.8628964006900788,0.8129459857940674,0.0016524298213305964,0.006818349729051357
TL_Ventricle_MR_Baseline_11_20_SAMPLES,0.8560066938400268,0.7949611008167267,0.001590430575439653,0.006915376217532438
TL_Ventricle_MR_Baseline_11_10_SAMPLES,0.8492567062377929,0.7792476117610931,0.0021429551768510093,0.00784903607400545
TL_Ventricle_MR_Baseline_9_10_SAMPLES,0.8535329103469849,0.7915525317192078,0.0020263670261665913,0.00995470869257785
TL_Ventricle_MR_Baseline_9_60_SAMPLES,0.8650269996036183,0.8176919546994296,0.0012592746113752596,0.00542396821644473
TL_Ventricle_MR_Baseline_9,0.8684808611869812,0.8252537250518799,0.0012641804340719938,0.004201553493726645
TL_Ventricle_MR_Baseline_11_60_SAMPLES,0.862111383676529,0.8030424356460572,0.001854783045356835,0.007169919201574738
TL_Brain_MR_Baseline_11,0.9734271168708801,0.9644011656443278,0.00015670905468942732,0.0004299262876591351
NOTL_Ventricle_CT_Baseline_11_60_SAMPLES,0.6420452445745468,0.6481653869152069,0.13756865890586306,0.09439345284593535
NOTL_Ventricle_CT_Baseline_11_5_SAMPLES,0.08363449051976204,0.14720395654439927,0.009690990442531735,0.015481055893960047
NOTL_Ventricle_CT_Baseline_11_20_SAMPLES,0.28585328310728075,0.4300640717148781,0.07560705149214464,0.0996060059177751
NOTL_Ventricle_CT_Baseline_11_10_SAMPLES,0.1360969789326191,0.2261349081993103,0.021659808527031456,0.03139668528030752
NOTL_Ventricle_CT_Baseline_11,0.7855542182922364,0.7403911173343658,0.013792488180256824,0.019463826441580342
NOTL_Ventricle_CT_Baseline_11_40_SAMPLES,0.5125765427947044,0.6033655822277069,0.12391571598389717,0.1169979431490555
